Target	Mean
ABI3.ENST00000225941.1	100.74105251805044
ABI3.ENST00000225941.2	119.45797575631767
ABI3.ENST00000225941.3	212.8217406498195
ABI3.ENST00000225941.4	152.5175408754512
ABI3.ENST00000225941.5	74.49623787003604
ABI3.ENST00000225941.6	112.09377083032503
ABI3.ENST00000225941.7	82.1067002599278
ABI3.ENST00000225941.8	174.36818676353795
ACD.ENST00000620761.1	170.25935679783396
ACD.ENST00000620761.10	215.22503649458474
ACD.ENST00000620761.11	186.0126155505414
ACD.ENST00000620761.12	199.77328057220214
ACD.ENST00000620761.2	123.3537397490975
ACD.ENST00000620761.3	227.93792944404333
ACD.ENST00000620761.4	179.03595858664264
ACD.ENST00000620761.5	209.97850344404338
ACD.ENST00000620761.6	227.56524740252704
ACD.ENST00000620761.7	201.37811699097463
ACD.ENST00000620761.8	208.41745641516223
ACD.ENST00000620761.9	181.61543951083033
ACP5.ENST00000648477.2	256.40489447653425
ACP5.ENST00000648477.3	313.5506978808668
ACP5.ENST00000648477.4	173.6047506913357
ACP5.ENST00000648477.5	151.84472804873624
ACTB.ENST00000646664.2	159.80851630505413
ACTB.ENST00000646664.3	233.33293809386277
ACTB.ENST00000646664.4	230.21312414620928
ACTB.ENST00000646664.5	262.57045695848365
ACTB.ENST00000646664.6	238.329744265343
ADA.ENST00000372874.1	39.49791290613718
ADA.ENST00000372874.10	287.97538690252736
ADA.ENST00000372874.11	272.9575281335737
ADA.ENST00000372874.12	135.6731463519856
ADA.ENST00000372874.2	164.26007576173305
ADA.ENST00000372874.3	177.94248978700358
ADA.ENST00000372874.4	236.03837318411553
ADA.ENST00000372874.5	179.3311725108304
ADA.ENST00000372874.6	238.05405214981943
ADA.ENST00000372874.7	147.1574464783394
ADA.ENST00000372874.8	220.33164742057775
ADA.ENST00000372874.9	209.4279106498195
ADA2.ENST00000399837.10	273.3096541299637
ADA2.ENST00000399837.2	336.6778400054152
ADA2.ENST00000399837.3	261.4303199675091
ADA2.ENST00000399837.4	237.97881211913364
ADA2.ENST00000399837.5	296.9893828483753
ADA2.ENST00000399837.6	356.5931006768954
ADA2.ENST00000399837.7	218.4684951173285
ADA2.ENST00000399837.8	268.7561797184114
ADA2.ENST00000399837.9	237.90452870397124
ADAM17.ENST00000310823.1	135.34294150902522
ADAM17.ENST00000310823.10	150.13135868411553
ADAM17.ENST00000310823.11	246.4892646823105
ADAM17.ENST00000310823.12	227.96437966967548
ADAM17.ENST00000310823.13	147.84495812815888
ADAM17.ENST00000310823.14	378.3326283682313
ADAM17.ENST00000310823.15	232.9315467707581
ADAM17.ENST00000310823.16	157.87278995487372
ADAM17.ENST00000310823.17	175.45682227978338
ADAM17.ENST00000310823.18	165.25696750902517
