Target	Mean
ACVRL1.ENST00000388922.10	266.79610968772556
ACVRL1.ENST00000388922.2	85.06979542418783
ACVRL1.ENST00000388922.3	162.38605865884477
ACVRL1.ENST00000388922.4	173.75546220577633
ACVRL1.ENST00000388922.5	195.9519928700361
ACVRL1.ENST00000388922.6	277.8271227743682
ACVRL1.ENST00000388922.7	180.63604856859223
ACVRL1.ENST00000388922.8	179.00127359386266
ACVRL1.ENST00000388922.9	182.74244653429596
BMPR1B.ENST00000440890.1	184.88633172743644
BMPR1B.ENST00000440890.10	186.63918356859205
BMPR1B.ENST00000440890.11	295.6304837545125
BMPR1B.ENST00000440890.2	179.60384169133582
BMPR1B.ENST00000440890.3	247.61955829602908
BMPR1B.ENST00000440890.4	150.4752601552346
BMPR1B.ENST00000440890.5	165.99964275812263
BMPR1B.ENST00000440890.6	157.62891749819514
BMPR1B.ENST00000440890.7	240.62634439169685
BMPR1B.ENST00000440890.8	250.10498487184108
BMPR1B.ENST00000440890.9	197.0567405776175
BMPR2.ENST00000374580.1	109.7271239440433
BMPR2.ENST00000374580.10	209.7609232490976
BMPR2.ENST00000374580.11	213.5546448772562
BMPR2.ENST00000374580.12	277.21199014801425
BMPR2.ENST00000374580.13	171.40697472924194
BMPR2.ENST00000374580.2	171.19514758483777
BMPR2.ENST00000374580.3	206.64321514259936
BMPR2.ENST00000374580.4	186.64711193321304
BMPR2.ENST00000374580.5	116.72247787725632
BMPR2.ENST00000374580.6	229.39342331227436
BMPR2.ENST00000374580.7	241.01629297292416
BMPR2.ENST00000374580.8	212.93416064981952
BMPR2.ENST00000374580.9	208.7012819620939
CAV1.ENST00000341049.1	113.76210631588455
CAV1.ENST00000341049.2	217.50455667148017
CAV1.ENST00000341049.3	214.67182422202157
EIF2AK4.ENST00000263791.1	92.31813132490971
EIF2AK4.ENST00000263791.10	314.19326000000035
EIF2AK4.ENST00000263791.11	212.27857619855612
EIF2AK4.ENST00000263791.12	74.34329611371848
EIF2AK4.ENST00000263791.13	183.66269031768942
EIF2AK4.ENST00000263791.14	162.8816058267148
EIF2AK4.ENST00000263791.15	227.91510326895323
EIF2AK4.ENST00000263791.16	253.09889614801455
EIF2AK4.ENST00000263791.17	113.05207913176898
EIF2AK4.ENST00000263791.18	163.7989078176896
EIF2AK4.ENST00000263791.19	270.15852309205786
EIF2AK4.ENST00000263791.2	185.44020759386297
EIF2AK4.ENST00000263791.20	227.40296982851982
EIF2AK4.ENST00000263791.21	200.02699167870037
EIF2AK4.ENST00000263791.22	177.01593261010825
EIF2AK4.ENST00000263791.23	258.7937763122741
EIF2AK4.ENST00000263791.24	219.11935459025284
EIF2AK4.ENST00000263791.25	250.75207366606492
EIF2AK4.ENST00000263791.26	168.53123054873646
EIF2AK4.ENST00000263791.27	239.6378783537909
EIF2AK4.ENST00000263791.28	219.61083035198558
EIF2AK4.ENST00000263791.29	197.12095208664257
EIF2AK4.ENST00000263791.3	242.41006583032498
EIF2AK4.ENST00000263791.30	182.97000573826693
EIF2AK4.ENST00000263791.31	212.50977241696717
