Target	Mean
CD19.ENST00000324662.1	242.94485248194962
CD19.ENST00000324662.10	330.76075069494584
CD19.ENST00000324662.11	349.84067172382663
CD19.ENST00000324662.12	247.54277335559576
CD19.ENST00000324662.13	174.32019760830335
CD19.ENST00000324662.14	117.55042249458484
CD19.ENST00000324662.2	99.80770744404339
CD19.ENST00000324662.3	190.40012628158846
CD19.ENST00000324662.4	124.11305546209394
CD19.ENST00000324662.5	284.75267478339384
CD19.ENST00000324662.6	223.54399818231053
CD19.ENST00000324662.7	108.41307021841158
CD19.ENST00000324662.8	181.95594388447657
CD19.ENST00000324662.9	284.6705081931408
CD27,TNFRSF7.ENST00000266557.1	91.25219947833943
CD27,TNFRSF7.ENST00000266557.2	234.54813019494566
CD27,TNFRSF7.ENST00000266557.3	169.0070992057762
CD27,TNFRSF7.ENST00000266557.4	134.92950148014435
CD27,TNFRSF7.ENST00000266557.5	281.27166823646195
CD27,TNFRSF7.ENST00000266557.6	153.73698615703967
CTLA4.ENST00000648405.1	226.90958017509
CTLA4.ENST00000648405.2	139.95265764981954
CTLA4.ENST00000648405.3	247.2636207220218
CTLA4.ENST00000648405.4	208.0017356245488
ICOS.ENST00000316386.1	184.670245104693
ICOS.ENST00000316386.2	266.22304544223823
ICOS.ENST00000316386.3	169.7010080920575
ICOS.ENST00000316386.4	201.6315111101085
ICOS.ENST00000316386.5	264.2296583989172
IKZF1.ENST00000331340.2	153.63704525992787
IKZF1.ENST00000331340.3	147.8301277256318
IKZF1.ENST00000331340.4	299.5320813844767
IKZF1.ENST00000331340.5	195.82385049097468
IKZF1.ENST00000331340.6	258.53880144404326
IKZF1.ENST00000331340.7	190.36253300000004
IKZF1.ENST00000331340.8	105.3761284675091
IL21R.ENST00000337929.2	81.35837846028886
IL21R.ENST00000337929.3	270.79648898736474
IL21R.ENST00000337929.4	167.96104168050536
IL21R.ENST00000337929.5	148.32340944223824
IL21R.ENST00000337929.6	189.5163882599279
IL21R.ENST00000337929.7	293.4653757924187
IL21R.ENST00000337929.8	94.03075277978343
IL21R.ENST00000337929.9	169.5946123086643
LRBA.ENST00000357115.10	177.20086494043338
LRBA.ENST00000357115.11	201.43408159747295
LRBA.ENST00000357115.12	148.2905969945849
LRBA.ENST00000357115.13	235.16303677075814
LRBA.ENST00000357115.14	201.60543450361013
LRBA.ENST00000357115.15	173.40017366967513
LRBA.ENST00000357115.16	147.93970534657038
LRBA.ENST00000357115.17	165.25750865162462
LRBA.ENST00000357115.18	201.64787710469307
LRBA.ENST00000357115.19	187.09052012815877
LRBA.ENST00000357115.2	194.1455545469314
LRBA.ENST00000357115.20	190.6518696859209
LRBA.ENST00000357115.21	178.11323412274376
LRBA.ENST00000357115.22	172.52257256137196
LRBA.ENST00000357115.23	241.17466715162445
LRBA.ENST00000357115.24	199.81076339350184
LRBA.ENST00000357115.25	215.2643401678702
LRBA.ENST00000357115.26	165.9683914927799
LRBA.ENST00000357115.27	187.7770832671481
LRBA.ENST00000357115.28	161.33579066786996
LRBA.ENST00000357115.29	133.95867675812275
LRBA.ENST00000357115.3	234.13122976714806
LRBA.ENST00000357115.30	256.74809875451297
LRBA.ENST00000357115.31	198.27278032851984
LRBA.ENST00000357115.32	203.04211792057765
LRBA.ENST00000357115.33	190.86334520397136
LRBA.ENST00000357115.34	145.64564713537916
LRBA.ENST00000357115.35	166.14812725631768
LRBA.ENST00000357115.36	236.77010628880873
LRBA.ENST00000357115.37	230.30191160649818
LRBA.ENST00000357115.38	204.4347851353792
LRBA.ENST00000357115.39	156.71023240072202
LRBA.ENST00000357115.4	209.22859205776155
LRBA.ENST00000357115.40	210.9921492563177
LRBA.ENST00000357115.41	220.30983223826706
LRBA.ENST00000357115.42	195.90922276714815
LRBA.ENST00000357115.43	184.89447509205777
LRBA.ENST00000357115.44	180.25752628880878
LRBA.ENST00000357115.45	161.07779461552354
LRBA.ENST00000357115.46	146.20910262274367
LRBA.ENST00000357115.47	156.30162607581227
LRBA.ENST00000357115.48	186.29296505776165
LRBA.ENST00000357115.49	233.4922825884477
LRBA.ENST00000357115.5	240.19730192057762
LRBA.ENST00000357115.50	170.6392730974729
LRBA.ENST00000357115.51	225.43134673826685
LRBA.ENST00000357115.52	139.45266098916983
LRBA.ENST00000357115.53	190.61834167509042
LRBA.ENST00000357115.54	232.43372102707562
LRBA.ENST00000357115.55	194.40233048916963
LRBA.ENST00000357115.56	168.59215906317706
LRBA.ENST00000357115.57	211.24107634476536
LRBA.ENST00000357115.58	182.1617729819494
LRBA.ENST00000357115.6	198.98861771841152
LRBA.ENST00000357115.7	215.86787292599303
LRBA.ENST00000357115.8	157.10751446750888
LRBA.ENST00000357115.9	172.98771078158845
NFKB2.ENST00000369966.10	288.71970694404337
NFKB2.ENST00000369966.11	371.41936116064994
NFKB2.ENST00000369966.12	97.79623104693148
NFKB2.ENST00000369966.13	94.15002675992773
NFKB2.ENST00000369966.14	119.76449803429603
NFKB2.ENST00000369966.15	300.951421864621
NFKB2.ENST00000369966.16	222.63054015162442
NFKB2.ENST00000369966.17	235.43779506498188
NFKB2.ENST00000369966.18	211.69391945126364
NFKB2.ENST00000369966.19	229.9749444043321
NFKB2.ENST00000369966.2	130.12427797833928
NFKB2.ENST00000369966.20	205.11426778158844
NFKB2.ENST00000369966.21	147.68226849999994
NFKB2.ENST00000369966.22	169.65061632129965
NFKB2.ENST00000369966.23	151.13530629422402
NFKB2.ENST00000369966.3	180.54708740613725
NFKB2.ENST00000369966.4	202.38953068592053
NFKB2.ENST00000369966.5	213.22495030324916
NFKB2.ENST00000369966.6	201.1829559855597
NFKB2.ENST00000369966.7	208.65855527075797
NFKB2.ENST00000369966.8	270.15475482310484
NFKB2.ENST00000369966.9	245.78592751624558
PIK3CD.ENST00000377346.10	99.79542719133583
PIK3CD.ENST00000377346.11	90.32553454873639
PIK3CD.ENST00000377346.12	97.70631768953076
PIK3CD.ENST00000377346.13	168.36198360288816
PIK3CD.ENST00000377346.14	153.36394962635387
PIK3CD.ENST00000377346.15	183.07126808844748
PIK3CD.ENST00000377346.16	168.3391131444044
PIK3CD.ENST00000377346.17	193.33079138628136
PIK3CD.ENST00000377346.18	144.6924800324911
PIK3CD.ENST00000377346.19	217.22347957942245
PIK3CD.ENST00000377346.20	135.10859509747291
PIK3CD.ENST00000377346.21	274.5637638916969
PIK3CD.ENST00000377346.22	238.01719158664258
PIK3CD.ENST00000377346.23	145.9854501931407
PIK3CD.ENST00000377346.24	276.8318401083031
PIK3CD.ENST00000377346.3	123.22880350541517
PIK3CD.ENST00000377346.4	122.55949551985547
PIK3CD.ENST00000377346.5	153.07335297653432
PIK3CD.ENST00000377346.6	88.47906540072209
PIK3CD.ENST00000377346.7	154.99933368592042
PIK3CD.ENST00000377346.8	158.0055774079421
PIK3CD.ENST00000377346.9	170.86580525992767
PIK3R1.ENST00000521381.10	215.720427203971
PIK3R1.ENST00000521381.11	176.03917689530684
PIK3R1.ENST00000521381.12	192.3544007833935
PIK3R1.ENST00000521381.13	238.09606783935018
PIK3R1.ENST00000521381.14	309.9331333537907
PIK3R1.ENST00000521381.15	261.37450625992756
PIK3R1.ENST00000521381.16	260.500124169675
PIK3R1.ENST00000521381.2	256.6935581624551
PIK3R1.ENST00000521381.3	324.6832915018051
PIK3R1.ENST00000521381.4	163.22214362274374
PIK3R1.ENST00000521381.5	230.86464849819512
PIK3R1.ENST00000521381.6	208.63810011552354
PIK3R1.ENST00000521381.7	190.03605538989171
PIK3R1.ENST00000521381.8	134.0318184963898
PIK3R1.ENST00000521381.9	247.06811316967529
PRKCD.ENST00000330452.10	170.02003610108315
PRKCD.ENST00000330452.11	150.34497217148012
PRKCD.ENST00000330452.12	252.97339350180496
PRKCD.ENST00000330452.13	206.00084515703978
PRKCD.ENST00000330452.14	277.0374499241876
PRKCD.ENST00000330452.15	182.4609875397112
PRKCD.ENST00000330452.16	300.9384581281584
PRKCD.ENST00000330452.17	152.57211576895307
PRKCD.ENST00000330452.18	264.90424727256254
PRKCD.ENST00000330452.19	229.21317917328534
PRKCD.ENST00000330452.3	120.46039962274368
PRKCD.ENST00000330452.4	244.286305194946
PRKCD.ENST00000330452.5	165.44368228700364
PRKCD.ENST00000330452.6	365.48194946389884
PRKCD.ENST00000330452.7	305.76563410288844
PRKCD.ENST00000330452.8	256.01896367328504
PRKCD.ENST00000330452.9	160.1468530613717
