Target	Mean
ACP5.ENST00000218758.4	256.40489447653425
ACP5.ENST00000218758.5	313.5506978808668
ACP5.ENST00000218758.6	173.6047506913357
ACP5.ENST00000218758.7	151.84472804873624
ACTB.ENST00000646664.2	159.80851630505413
ACTB.ENST00000646664.3	233.33293809386277
ACTB.ENST00000646664.4	230.21312414620928
ACTB.ENST00000646664.5	262.57045695848365
ACTB.ENST00000646664.6	238.329744265343
ADA.ENST00000372874.1	39.49791290613718
ADA.ENST00000372874.10	287.97538690252736
ADA.ENST00000372874.11	272.9575281335737
ADA.ENST00000372874.12	135.6731463519856
ADA.ENST00000372874.2	164.26007576173305
ADA.ENST00000372874.3	177.94248978700358
ADA.ENST00000372874.4	236.03837318411553
ADA.ENST00000372874.5	179.3311725108304
ADA.ENST00000372874.6	238.05405214981943
ADA.ENST00000372874.7	147.1574464783394
ADA.ENST00000372874.8	220.33164742057775
ADA.ENST00000372874.9	209.4279106498195
ADAM17.ENST00000310823.1	135.34294150902522
ADAM17.ENST00000310823.10	150.13135868411553
ADAM17.ENST00000310823.11	246.4892646823105
ADAM17.ENST00000310823.12	227.96437966967548
ADAM17.ENST00000310823.13	147.84495812815888
ADAM17.ENST00000310823.14	378.3326283682313
ADAM17.ENST00000310823.15	232.9315467707581
ADAM17.ENST00000310823.16	157.87278995487372
ADAM17.ENST00000310823.17	175.45682227978338
ADAM17.ENST00000310823.18	165.25696750902517
ADAM17.ENST00000310823.19	202.65608688447645
ADAM17.ENST00000310823.2	160.6130210090256
ADAM17.ENST00000310823.3	239.93972507400713
ADAM17.ENST00000310823.4	219.9734164530684
ADAM17.ENST00000310823.5	205.14625235379052
ADAM17.ENST00000310823.6	272.35836431768917
ADAM17.ENST00000310823.7	170.90449437364623
ADAM17.ENST00000310823.8	177.54640426714795
ADAM17.ENST00000310823.9	196.507307935018
ADAR.ENST00000368474.1	15.392728205776203
ADAR.ENST00000368474.10	174.00362489350172
ADAR.ENST00000368474.11	219.99955212996377
ADAR.ENST00000368474.12	129.11806245126354
ADAR.ENST00000368474.13	242.4760346750902
ADAR.ENST00000368474.14	293.5522044566787
ADAR.ENST00000368474.15	263.8329829801444
ADAR.ENST00000368474.2	284.6263196064983
ADAR.ENST00000368474.3	248.52906829241917
ADAR.ENST00000368474.4	233.4945482545127
ADAR.ENST00000368474.5	185.7919048176895
ADAR.ENST00000368474.6	185.75152003790615
ADAR.ENST00000368474.7	178.1969113429604
ADAR.ENST00000368474.8	208.76673633393514
