Target	Mean
ABCC2.ENST00000647814.1	95.86975406137184
ABCC2.ENST00000647814.10	224.33654311552337
ABCC2.ENST00000647814.11	239.7863371263539
ABCC2.ENST00000647814.12	270.6354844783392
ABCC2.ENST00000647814.13	283.406730635379
ABCC2.ENST00000647814.14	91.60153431768957
ABCC2.ENST00000647814.15	168.78943771299657
ABCC2.ENST00000647814.16	145.14745573826718
ABCC2.ENST00000647814.17	215.35310346750884
ABCC2.ENST00000647814.18	226.4970276101085
ABCC2.ENST00000647814.19	259.7160649657042
ABCC2.ENST00000647814.2	209.35791197111914
ABCC2.ENST00000647814.20	209.07902125812288
ABCC2.ENST00000647814.21	236.84905737364625
ABCC2.ENST00000647814.22	227.7732225595668
ABCC2.ENST00000647814.23	255.5622626407942
ABCC2.ENST00000647814.24	293.77076975812275
ABCC2.ENST00000647814.25	243.48947806137193
ABCC2.ENST00000647814.26	230.81609935018062
ABCC2.ENST00000647814.27	259.3867462509027
ABCC2.ENST00000647814.28	241.08068465703957
ABCC2.ENST00000647814.29	263.43043687906146
ABCC2.ENST00000647814.3	171.90235379061374
ABCC2.ENST00000647814.30	217.61662170938624
ABCC2.ENST00000647814.31	262.32935726895266
ABCC2.ENST00000647814.32	226.6260459548737
ABCC2.ENST00000647814.4	282.47260089711176
ABCC2.ENST00000647814.5	252.66215122382687
ABCC2.ENST00000647814.6	124.98546110288807
ABCC2.ENST00000647814.7	209.08263137906113
ABCC2.ENST00000647814.8	300.13158071299637
ABCC2.ENST00000647814.9	254.85967487906132
ANK1.ENST00000265709.1	217.12135740072196
ANK1.ENST00000265709.10	214.5784236570396
ANK1.ENST00000265709.11	401.21483827797863
ANK1.ENST00000265709.12	139.96855888267152
ANK1.ENST00000265709.13	170.83428496750918
ANK1.ENST00000265709.14	193.89419818050538
ANK1.ENST00000265709.15	143.22415827617326
ANK1.ENST00000265709.16	113.7213769945848
ANK1.ENST00000265709.17	163.75711483935004
ANK1.ENST00000265709.18	227.11493403610112
ANK1.ENST00000265709.19	291.04562366245494
ANK1.ENST00000265709.2	432.7010044187725
ANK1.ENST00000265709.20	169.0879503447653
ANK1.ENST00000265709.21	262.9112384259926
ANK1.ENST00000265709.22	327.03642699458476
ANK1.ENST00000265709.23	209.645895463899
ANK1.ENST00000265709.24	264.4506618610107
ANK1.ENST00000265709.25	113.45765064981948
ANK1.ENST00000265709.26	124.1456697400721
ANK1.ENST00000265709.27	149.56420030866428
ANK1.ENST00000265709.28	209.07734774909744
ANK1.ENST00000265709.29	197.3913460198556
ANK1.ENST00000265709.3	261.32039709386265
ANK1.ENST00000265709.30	133.48432965523463
ANK1.ENST00000265709.31	240.50966455234658
ANK1.ENST00000265709.32	212.3285119259931
ANK1.ENST00000265709.33	335.84553068592044
ANK1.ENST00000265709.34	216.87299398555967
ANK1.ENST00000265709.35	303.25175875270776
ANK1.ENST00000265709.36	154.44667773104686
ANK1.ENST00000265709.37	323.67649571299626
ANK1.ENST00000265709.38	206.87412837725628
ANK1.ENST00000265709.39	236.34800668411543
ANK1.ENST00000265709.4	400.37749576895334
ANK1.ENST00000265709.40	181.43963704873644
ANK1.ENST00000265709.41	238.50867732851995
ANK1.ENST00000265709.42	284.4533740487366
ANK1.ENST00000265709.43	181.80928908122743
ANK1.ENST00000265709.5	213.93474177797845
ANK1.ENST00000265709.6	146.92386572924187
ANK1.ENST00000265709.7	106.54435276534302
ANK1.ENST00000265709.8	454.86766006678715
ANK1.ENST00000265709.9	295.16965665523463
ATP7B.ENST00000242839.1	241.9076534296028
ATP7B.ENST00000242839.10	249.7474487833937
ATP7B.ENST00000242839.11	251.6038257779785
ATP7B.ENST00000242839.12	235.8660353555957
ATP7B.ENST00000242839.13	205.8864304494586
ATP7B.ENST00000242839.14	202.4689272545127
ATP7B.ENST00000242839.15	191.1369477400723
ATP7B.ENST00000242839.16	219.06114462815898
ATP7B.ENST00000242839.17	243.31857935920564
ATP7B.ENST00000242839.18	222.8811420631771
ATP7B.ENST00000242839.19	301.6602641281588
ATP7B.ENST00000242839.2	199.1294076064982
ATP7B.ENST00000242839.20	161.60626814620932
ATP7B.ENST00000242839.21	162.97284483935022
ATP7B.ENST00000242839.3	176.26151513176893
ATP7B.ENST00000242839.4	217.5117162292419
ATP7B.ENST00000242839.5	179.58960244223834
ATP7B.ENST00000242839.6	312.0111866046932
ATP7B.ENST00000242839.7	203.64309723104682
ATP7B.ENST00000242839.8	233.5571884404333
ATP7B.ENST00000242839.9	292.3848137256317
BMP6.ENST00000283147.1	52.697034043321274
BMP6.ENST00000283147.2	206.6948894368231
BMP6.ENST00000283147.3	229.26951410649826
BMP6.ENST00000283147.4	171.8862632671481
BMP6.ENST00000283147.5	313.53344101624515
BMP6.ENST00000283147.6	276.19483097472926
BMP6.ENST00000283147.7	230.06363724729252
EPB42.ENST00000648595.1	122.64733980866421
EPB42.ENST00000648595.10	201.2562694079422
EPB42.ENST00000648595.11	309.0341832129964
EPB42.ENST00000648595.12	303.3571292797836
EPB42.ENST00000648595.13	248.22736998556
EPB42.ENST00000648595.2	277.502195323105
EPB42.ENST00000648595.3	286.4285338176895
EPB42.ENST00000648595.4	154.68968365884479
EPB42.ENST00000648595.5	171.71877603610108
EPB42.ENST00000648595.6	192.7629667996389
EPB42.ENST00000648595.7	216.80402083032487
EPB42.ENST00000648595.8	170.97078615523452
EPB42.ENST00000648595.9	208.9820762617326
G6PD.ENST00000393562.10	186.66637223826717
G6PD.ENST00000393562.11	154.71150008122734
G6PD.ENST00000393562.12	164.96713623826716
G6PD.ENST00000393562.13	103.1159045270759
G6PD.ENST00000393562.2	93.79028000541516
G6PD.ENST00000393562.3	168.7642209061371
G6PD.ENST00000393562.4	167.70973727075807
G6PD.ENST00000393562.5	144.60988371480144
G6PD.ENST00000393562.6	176.16445413898924
G6PD.ENST00000393562.7	223.31471480144398
G6PD.ENST00000393562.8	220.28719767870012
G6PD.ENST00000393562.9	149.44838125631773
HAMP.ENST00000598398.2	182.27568652707595
HAMP.ENST00000598398.3	144.34932387725615
HAMP.ENST00000598398.4	258.78879129241875
HBB.ENST00000647020.1	259.23675964259917
HBB.ENST00000647020.2	300.92533418411585
HBB.ENST00000647020.3	186.33956146028862
HFE.ENST00000357618.1	63.05287603790611
HFE.ENST00000357618.2	303.3645454476537
HFE.ENST00000357618.3	220.7682047779781
HFE.ENST00000357618.4	200.87728914801448
HFE.ENST00000357618.5	328.57617967689544
HFE.ENST00000357618.6	138.03786101083043
HFE2,HJV.ENST00000336751.2	182.5880904025271
HFE2,HJV.ENST00000336751.3	114.68386042599276
HFE2,HJV.ENST00000336751.4	217.32539938267143
SERPINA1.ENST00000448921.4	225.3979822346569
SERPINA1.ENST00000448921.5	199.226647935018
SERPINA1.ENST00000448921.6	266.8899408194945
SERPINA1.ENST00000448921.7	243.2068062689533
SLC40A1.ENST00000261024.1	128.25816572743676
SLC40A1.ENST00000261024.2	186.1880219891697
SLC40A1.ENST00000261024.3	210.45718955415168
SLC40A1.ENST00000261024.4	253.07215508303253
SLC40A1.ENST00000261024.5	125.69960174007231
SLC40A1.ENST00000261024.6	195.31891990794213
SLC40A1.ENST00000261024.7	236.6891702400723
SLC40A1.ENST00000261024.8	201.56158522924204
SLC4A1.ENST00000262418.10	141.73479457400734
SLC4A1.ENST00000262418.11	205.44417359205787
SLC4A1.ENST00000262418.12	287.6774807472924
SLC4A1.ENST00000262418.13	356.65091740794236
SLC4A1.ENST00000262418.14	239.96292856859205
SLC4A1.ENST00000262418.15	137.98955501805045
SLC4A1.ENST00000262418.16	201.52715191696763
SLC4A1.ENST00000262418.17	139.71712733032513
SLC4A1.ENST00000262418.18	282.52906243140785
SLC4A1.ENST00000262418.19	247.92417730505403
SLC4A1.ENST00000262418.2	198.5673027364621
SLC4A1.ENST00000262418.20	141.13704873646205
SLC4A1.ENST00000262418.3	250.6198154657043
SLC4A1.ENST00000262418.4	232.30123690433228
SLC4A1.ENST00000262418.5	268.81327719494567
SLC4A1.ENST00000262418.6	166.70969380144396
SLC4A1.ENST00000262418.7	157.73433419675095
SLC4A1.ENST00000262418.8	211.33053981046922
SLC4A1.ENST00000262418.9	137.98141094043325
SLCO1B1.ENST00000256958.10	203.48763307581262
SLCO1B1.ENST00000256958.11	162.67936767870026
SLCO1B1.ENST00000256958.12	228.55934117148013
SLCO1B1.ENST00000256958.13	104.0005922833935
SLCO1B1.ENST00000256958.14	209.3294609440433
SLCO1B1.ENST00000256958.15	170.53727007400752
