Target	Mean
CASP8.ENST00000673742.2	272.92627187184155
CASP8.ENST00000673742.3	313.5615093519856
CASP8.ENST00000673742.4	218.70276775992792
CASP8.ENST00000673742.5	163.4834263140795
CASP8.ENST00000673742.6	179.70112251805054
CASP8.ENST00000673742.7	260.1580638411553
CASP8.ENST00000673742.8	228.2163470758122
CASP8.ENST00000673742.9	281.428573350181
CD19.ENST00000538922.1	242.94485248194962
CD19.ENST00000538922.10	330.76075069494584
CD19.ENST00000538922.11	349.84067172382663
CD19.ENST00000538922.12	247.54277335559576
CD19.ENST00000538922.13	174.22926150721997
CD19.ENST00000538922.14	117.55042249458484
CD19.ENST00000538922.2	99.80770744404339
CD19.ENST00000538922.3	190.40012628158846
CD19.ENST00000538922.4	124.11305546209394
CD19.ENST00000538922.5	284.75267478339384
CD19.ENST00000538922.6	223.54399818231053
CD19.ENST00000538922.7	108.41307021841158
CD19.ENST00000538922.8	181.95594388447657
CD19.ENST00000538922.9	284.6705081931408
CD27.ENST00000266557.1	91.25219947833943
CD27.ENST00000266557.2	234.54813019494566
CD27.ENST00000266557.3	169.0070992057762
CD27.ENST00000266557.4	134.92950148014435
CD27.ENST00000266557.5	281.27166823646195
CD27.ENST00000266557.6	153.73698615703967
CD55.ENST00000367064.1	60.283393480144426
CD55.ENST00000367064.10	169.22785988267148
CD55.ENST00000367064.2	155.42147526534308
CD55.ENST00000367064.3	176.30413745848372
CD55.ENST00000367064.4	129.67742405956685
CD55.ENST00000367064.5	223.35765554151624
CD55.ENST00000367064.6	175.15450496389917
CD55.ENST00000367064.7	307.6018050541513
CD55.ENST00000367064.8	102.30929602888087
CD55.ENST00000367064.9	186.77075812274367
CDCA7.ENST00000306721.1	28.8480144404332
CDCA7.ENST00000306721.10	211.2175090108302
CDCA7.ENST00000306721.2	166.47708303249127
CDCA7.ENST00000306721.3	204.92507494223815
CDCA7.ENST00000306721.4	198.2057455722022
CDCA7.ENST00000306721.5	265.0000937725631
CDCA7.ENST00000306721.6	211.97287767147992
CDCA7.ENST00000306721.7	254.21968799458452
CDCA7.ENST00000306721.8	194.06976715884466
CDCA7.ENST00000306721.9	257.86415641696743
CTLA4.ENST00000648405.1	226.90958017509
CTLA4.ENST00000648405.2	139.95265764981954
CTLA4.ENST00000648405.3	247.2636207220218
CTLA4.ENST00000648405.4	208.0017356245488
CXCR4.ENST00000241393.1	70.03687468231044
CXCR4.ENST00000241393.2	250.02467714801412
DKC1.ENST00000369550.1	81.58844767148005
DKC1.ENST00000369550.10	125.11471120216602
DKC1.ENST00000369550.11	147.184452036101
DKC1.ENST00000369550.12	244.3037923592058
DKC1.ENST00000369550.13	201.88810981227425
DKC1.ENST00000369550.14	240.39209201985523
DKC1.ENST00000369550.15	261.0420206209385
DKC1.ENST00000369550.2	174.5380947328521
DKC1.ENST00000369550.3	114.16763913898912
DKC1.ENST00000369550.4	230.69923039350198
DKC1.ENST00000369550.5	171.06934743501796
DKC1.ENST00000369550.6	281.2764835288809
DKC1.ENST00000369550.7	327.2394705144401
DKC1.ENST00000369550.8	300.54638988267124
DKC1.ENST00000369550.9	182.7322839783393
DNMT3B.ENST00000328111.10	240.78425010108307
DNMT3B.ENST00000328111.11	208.836953068592
DNMT3B.ENST00000328111.12	192.8157203880865
DNMT3B.ENST00000328111.13	157.05152402346584
DNMT3B.ENST00000328111.14	267.2506930144405
DNMT3B.ENST00000328111.15	166.5951746985559
DNMT3B.ENST00000328111.16	112.94129277978331
DNMT3B.ENST00000328111.17	250.1159218267148
DNMT3B.ENST00000328111.18	173.9333533790615
DNMT3B.ENST00000328111.19	223.71908235740088
DNMT3B.ENST00000328111.2	197.98312725631743
DNMT3B.ENST00000328111.20	187.07942237906127
DNMT3B.ENST00000328111.21	177.0073771823104
DNMT3B.ENST00000328111.22	188.35122070758106
DNMT3B.ENST00000328111.23	233.35217757400738
DNMT3B.ENST00000328111.3	147.79812985379044
DNMT3B.ENST00000328111.4	143.89473495306845
DNMT3B.ENST00000328111.5	108.76880866426
DNMT3B.ENST00000328111.6	159.4045689801444
DNMT3B.ENST00000328111.7	267.62618243321276
DNMT3B.ENST00000328111.8	125.14315598014431
DNMT3B.ENST00000328111.9	176.93480497111926
ELF4.ENST00000308167.2	251.98636452707584
ELF4.ENST00000308167.3	130.97570036462105
ELF4.ENST00000308167.4	262.7379532129962
ELF4.ENST00000308167.5	165.13743927256317
ELF4.ENST00000308167.6	243.68944371119136
ELF4.ENST00000308167.7	188.84605329783403
ELF4.ENST00000308167.8	136.21853127256307
ELF4.ENST00000308167.9	106.33977002346573
ICOS.ENST00000316386.1	184.670245104693
ICOS.ENST00000316386.2	266.22304544223823
ICOS.ENST00000316386.3	169.7010080920575
ICOS.ENST00000316386.4	201.6315111101085
ICOS.ENST00000316386.5	264.2296583989172
IKZF1.ENST00000331340.2	153.63704525992787
IKZF1.ENST00000331340.3	147.8301277256318
IKZF1.ENST00000331340.4	299.5320813844767
IKZF1.ENST00000331340.5	195.82385049097468
IKZF1.ENST00000331340.6	258.53880144404326
IKZF1.ENST00000331340.7	190.36253300000004
IKZF1.ENST00000331340.8	105.3761284675091
IL21R.ENST00000337929.2	81.35837846028886
IL21R.ENST00000337929.3	270.79648898736474
IL21R.ENST00000337929.4	167.96104168050536
IL21R.ENST00000337929.5	148.32340944223824
IL21R.ENST00000337929.6	189.5163882599279
IL21R.ENST00000337929.7	293.4653757924187
IL21R.ENST00000337929.8	94.03075277978343
IL21R.ENST00000337929.9	169.5946123086643
KMT2D.ENST00000301067.10	185.42269390072175
KMT2D.ENST00000301067.11	207.86368790613713
KMT2D.ENST00000301067.12	149.29875436823104
KMT2D.ENST00000301067.13	102.28227532310468
KMT2D.ENST00000301067.14	372.98480475270776
KMT2D.ENST00000301067.15	118.85635932671485
KMT2D.ENST00000301067.16	209.03418633754495
KMT2D.ENST00000301067.17	365.49318703971153
KMT2D.ENST00000301067.18	269.71708673646214
KMT2D.ENST00000301067.19	179.81811197833923
KMT2D.ENST00000301067.2	103.91095068772559
KMT2D.ENST00000301067.20	224.92531485018037
KMT2D.ENST00000301067.21	228.76907440072173
KMT2D.ENST00000301067.22	237.8338655902527
KMT2D.ENST00000301067.23	305.3737572833934
KMT2D.ENST00000301067.24	285.9226773682309
KMT2D.ENST00000301067.25	282.0376284530684
KMT2D.ENST00000301067.26	213.45615359927794
KMT2D.ENST00000301067.27	311.6330469765342
KMT2D.ENST00000301067.28	194.51201221841168
KMT2D.ENST00000301067.29	198.2448956732854
KMT2D.ENST00000301067.3	147.88685461913346
KMT2D.ENST00000301067.30	267.6574353231046
KMT2D.ENST00000301067.31	223.57346570397118
KMT2D.ENST00000301067.32	163.91328963537924
KMT2D.ENST00000301067.33	163.85018050541524
KMT2D.ENST00000301067.34	159.3150217779782
KMT2D.ENST00000301067.35	184.12963271841144
KMT2D.ENST00000301067.36	262.92728420036104
KMT2D.ENST00000301067.37	212.21705775090248
KMT2D.ENST00000301067.38	183.32261239169694
KMT2D.ENST00000301067.39	196.61056734657035
KMT2D.ENST00000301067.4	232.5599229458483
KMT2D.ENST00000301067.40	184.69634574909762
KMT2D.ENST00000301067.41	347.2039324205774
KMT2D.ENST00000301067.42	228.6020450108302
KMT2D.ENST00000301067.43	88.44958333754514
KMT2D.ENST00000301067.44	185.4718171083033
KMT2D.ENST00000301067.45	276.15256320397106
KMT2D.ENST00000301067.46	203.03371288086635
