Target	Mean
ACTA1.ENST00000366684.2	107.55893194404405
ACTA1.ENST00000366684.3	322.7369189241882
ACTA1.ENST00000366684.4	193.24513981407927
ACTA1.ENST00000366684.5	227.17715993862817
ACTA1.ENST00000366684.6	179.24194707400702
ACTA1.ENST00000366684.7	247.53191029963912
ACTC1.ENST00000290378.2	71.64190803068615
ACTC1.ENST00000290378.3	183.1958539657039
ACTC1.ENST00000290378.4	263.3980873158845
ACTC1.ENST00000290378.5	185.1515205956678
ACTC1.ENST00000290378.6	233.1815724675091
ACTC1.ENST00000290378.7	161.97791016787005
ACTN2.ENST00000366578.1	74.88623826714802
ACTN2.ENST00000366578.10	286.1609480541513
ACTN2.ENST00000366578.11	249.19339865703955
ACTN2.ENST00000366578.12	154.35039710469306
ACTN2.ENST00000366578.13	114.56625216606501
ACTN2.ENST00000366578.14	211.98020887184143
ACTN2.ENST00000366578.15	203.4658626534296
ACTN2.ENST00000366578.16	205.17134542599285
ACTN2.ENST00000366578.17	223.1372143537907
ACTN2.ENST00000366578.18	254.0931457292418
ACTN2.ENST00000366578.19	196.82066093321296
ACTN2.ENST00000366578.2	253.18261130144424
ACTN2.ENST00000366578.20	209.30366036462098
ACTN2.ENST00000366578.21	142.92993417509044
ACTN2.ENST00000366578.3	338.59939931949447
ACTN2.ENST00000366578.4	101.50136427797838
ACTN2.ENST00000366578.5	147.11786796750906
ACTN2.ENST00000366578.6	182.09307600902517
ACTN2.ENST00000366578.7	221.88238179422387
ACTN2.ENST00000366578.8	291.9977914819496
ACTN2.ENST00000366578.9	177.79551876895317
BAG3.ENST00000369085.1	107.54178852346574
BAG3.ENST00000369085.2	136.60159244223826
BAG3.ENST00000369085.3	303.7878228844769
BAG3.ENST00000369085.4	300.72429675451264
CACNA1C.ENST00000399655.1	134.91749399277967
CACNA1C.ENST00000399655.10	192.13547932490977
CACNA1C.ENST00000399655.11	143.74680643862814
CACNA1C.ENST00000399655.12	215.47724503610112
CACNA1C.ENST00000399655.13	196.30933012996388
CACNA1C.ENST00000399655.14	261.30059819855614
CACNA1C.ENST00000399655.15	181.5094013194946
CACNA1C.ENST00000399655.16	242.67923871660642
CACNA1C.ENST00000399655.17	150.69135077617332
CACNA1C.ENST00000399655.18	132.97988279783397
CACNA1C.ENST00000399655.19	225.91770593682295
CACNA1C.ENST00000399655.2	89.1876806335741
CACNA1C.ENST00000399655.20	268.9254890397113
CACNA1C.ENST00000399655.21	190.05139813898933
CACNA1C.ENST00000399655.22	330.1192016895306
CACNA1C.ENST00000399655.23	160.10685089891697
CACNA1C.ENST00000399655.24	123.6554539783394
CACNA1C.ENST00000399655.25	193.48351150722027
CACNA1C.ENST00000399655.26	248.9875253447654
CACNA1C.ENST00000399655.27	198.49204338267143
CACNA1C.ENST00000399655.28	194.30152401985566
CACNA1C.ENST00000399655.29	258.9366754007222
CACNA1C.ENST00000399655.3	248.26415679422394
CACNA1C.ENST00000399655.30	77.88384584837539
CACNA1C.ENST00000399655.31	212.033619133574
CACNA1C.ENST00000399655.32	212.07761706317655
CACNA1C.ENST00000399655.33	173.4110247129965
CACNA1C.ENST00000399655.34	186.1890943050543
CACNA1C.ENST00000399655.35	185.18690513898935
CACNA1C.ENST00000399655.36	307.11501178519813
CACNA1C.ENST00000399655.37	90.8592433935018
CACNA1C.ENST00000399655.38	203.38010548194967
CACNA1C.ENST00000399655.39	128.46425634115508
CACNA1C.ENST00000399655.4	211.8669064548738
CACNA1C.ENST00000399655.40	196.2068705920577
CACNA1C.ENST00000399655.41	203.41506814981952
CACNA1C.ENST00000399655.42	182.87234369494598
CACNA1C.ENST00000399655.43	120.38140204151713
CACNA1C.ENST00000399655.44	284.0778387166066
CACNA1C.ENST00000399655.45	271.55879568050545
CACNA1C.ENST00000399655.46	63.091715236462036
CACNA1C.ENST00000399655.47	133.9671830198556
CACNA1C.ENST00000399655.5	348.46132767689545
CACNA1C.ENST00000399655.6	229.3476328628159
CACNA1C.ENST00000399655.7	187.67678479422386
CACNA1C.ENST00000399655.8	260.33942026714806
CACNA1C.ENST00000399655.9	199.69632063176914
CSRP3.ENST00000265968.2	193.42417146389886
CSRP3.ENST00000265968.3	174.22514826353827
CSRP3.ENST00000265968.4	210.8662072111915
CSRP3.ENST00000265968.5	160.55368581768948
CSRP3.ENST00000265968.6	271.91506745487345
DES.ENST00000373960.1	139.89897953790626
DES.ENST00000373960.2	221.23850782851957
DES.ENST00000373960.3	185.22352271299636
DES.ENST00000373960.4	228.1234163736462
DES.ENST00000373960.5	150.60742238267144
