Target	Mean
ATM.ENST00000278616.10	174.60062568592076
ATM.ENST00000278616.11	247.30540771841177
ATM.ENST00000278616.12	188.48854264981964
ATM.ENST00000278616.13	208.87947851805043
ATM.ENST00000278616.14	190.41784837545126
ATM.ENST00000278616.15	155.39457039711186
ATM.ENST00000278616.16	204.88912099819484
ATM.ENST00000278616.17	212.76131063718432
ATM.ENST00000278616.18	204.3904903555957
ATM.ENST00000278616.19	237.71651844223814
ATM.ENST00000278616.2	178.0931509765343
ATM.ENST00000278616.20	217.61617560288812
ATM.ENST00000278616.21	192.5207460740072
ATM.ENST00000278616.22	181.82324355595668
ATM.ENST00000278616.23	233.632463193141
ATM.ENST00000278616.24	173.05156403971122
ATM.ENST00000278616.25	128.65759512454875
ATM.ENST00000278616.26	205.0549147472925
ATM.ENST00000278616.27	186.31751687906137
ATM.ENST00000278616.28	158.08251676534292
ATM.ENST00000278616.29	192.43804764079425
ATM.ENST00000278616.3	190.72015211913336
ATM.ENST00000278616.30	156.15178015342988
ATM.ENST00000278616.31	203.22830633032515
ATM.ENST00000278616.32	190.93410184476528
ATM.ENST00000278616.33	181.3715941732852
ATM.ENST00000278616.34	180.85714735920592
ATM.ENST00000278616.35	187.00819315162443
ATM.ENST00000278616.36	224.77383490433203
ATM.ENST00000278616.37	176.57946318772574
ATM.ENST00000278616.38	284.74874475992766
ATM.ENST00000278616.39	164.6767555523466
ATM.ENST00000278616.4	201.75736336823124
ATM.ENST00000278616.40	188.64944602527083
ATM.ENST00000278616.41	236.09357563898914
ATM.ENST00000278616.42	168.82356481768966
ATM.ENST00000278616.43	172.01713583393496
ATM.ENST00000278616.44	121.78768050000006
ATM.ENST00000278616.45	199.62392681949459
ATM.ENST00000278616.46	171.14020024548736
ATM.ENST00000278616.47	179.08900970216598
ATM.ENST00000278616.48	228.17724673285204
ATM.ENST00000278616.49	201.48897003249084
ATM.ENST00000278616.5	203.751232711191
ATM.ENST00000278616.50	146.53687716425983
ATM.ENST00000278616.51	170.85858279241876
ATM.ENST00000278616.52	199.95584470577626
ATM.ENST00000278616.53	145.1559409729242
ATM.ENST00000278616.54	194.91868450902533
ATM.ENST00000278616.55	217.08058275451276
ATM.ENST00000278616.56	270.58301694223854
ATM.ENST00000278616.57	196.02321129422407
ATM.ENST00000278616.58	234.74781753610117
ATM.ENST00000278616.59	176.68573167148026
ATM.ENST00000278616.6	171.05023519855595
ATM.ENST00000278616.60	240.291547940433
ATM.ENST00000278616.61	212.02461178519863
