Target	Mean
ACTA1	212.91533466576408
BAG3	212.1638751511734
DES	181.6651075998793
DSP.ENST00000379802.1	101.61865292779787
DSP.ENST00000379802.10	155.60407220216612
DSP.ENST00000379802.11	201.87383623104705
DSP.ENST00000379802.12	198.58856485379061
DSP.ENST00000379802.13	223.6444329747291
DSP.ENST00000379802.14	200.35555975090261
DSP.ENST00000379802.15	177.02088591696747
DSP.ENST00000379802.16	201.5489648231049
DSP.ENST00000379802.17	203.40056505776158
DSP.ENST00000379802.18	206.24497297292427
DSP.ENST00000379802.19	162.04401211552357
DSP.ENST00000379802.2	247.34097829783414
DSP.ENST00000379802.20	199.41940322743685
DSP.ENST00000379802.21	112.46487737545124
DSP.ENST00000379802.22	162.87510130685922
DSP.ENST00000379802.23	270.5040837960288
DSP.ENST00000379802.24	229.17714408664258
DSP.ENST00000379802.3	216.06005464801459
DSP.ENST00000379802.4	164.08586455054132
DSP.ENST00000379802.5	134.8732510938633
DSP.ENST00000379802.6	154.40599277978328
DSP.ENST00000379802.7	222.88390474368225
DSP.ENST00000379802.8	201.71495764620943
DSP.ENST00000379802.9	181.01328139530702
FLN,FLNA.ENST00000369850.10	170.23576377797824
FLN,FLNA.ENST00000369850.11	155.86736520938643
FLN,FLNA.ENST00000369850.12	191.63503398014424
FLN,FLNA.ENST00000369850.13	203.5609229133574
FLN,FLNA.ENST00000369850.14	132.84938180685918
FLN,FLNA.ENST00000369850.15	126.36965741877252
FLN,FLNA.ENST00000369850.16	243.49371899277995
FLN,FLNA.ENST00000369850.17	133.94491200361014
FLN,FLNA.ENST00000369850.18	160.5136582509025
FLN,FLNA.ENST00000369850.19	204.45392306859196
FLN,FLNA.ENST00000369850.2	131.26461025812284
FLN,FLNA.ENST00000369850.20	155.0151346895307
FLN,FLNA.ENST00000369850.21	157.4583115180504
FLN,FLNA.ENST00000369850.22	142.3556228736461
FLN,FLNA.ENST00000369850.23	114.72532918953078
FLN,FLNA.ENST00000369850.24	162.66257743140795
FLN,FLNA.ENST00000369850.25	181.70178249097478
FLN,FLNA.ENST00000369850.26	178.2045975703972
FLN,FLNA.ENST00000369850.27	181.3789293068592
FLN,FLNA.ENST00000369850.28	130.14561928158838
FLN,FLNA.ENST00000369850.29	144.9496017436824
FLN,FLNA.ENST00000369850.3	174.69012025090285
FLN,FLNA.ENST00000369850.30	162.76079109205781
FLN,FLNA.ENST00000369850.31	179.3166956552346
FLN,FLNA.ENST00000369850.32	95.3264487815885
FLN,FLNA.ENST00000369850.33	123.81363701263531
FLN,FLNA.ENST00000369850.34	176.2314853122745
FLN,FLNA.ENST00000369850.35	182.405798467509
FLN,FLNA.ENST00000369850.36	154.21855762635374
FLN,FLNA.ENST00000369850.37	222.17708590433213
FLN,FLNA.ENST00000369850.38	204.71025769314068
FLN,FLNA.ENST00000369850.39	200.66835690974733
FLN,FLNA.ENST00000369850.4	137.709814303249
FLN,FLNA.ENST00000369850.40	153.70735929602898
FLN,FLNA.ENST00000369850.41	135.00190004873667
FLN,FLNA.ENST00000369850.42	115.94601965523466
FLN,FLNA.ENST00000369850.43	256.29227752888073
FLN,FLNA.ENST00000369850.44	197.1202959296029
FLN,FLNA.ENST00000369850.45	144.0243271949458
FLN,FLNA.ENST00000369850.46	105.99451856498204
FLN,FLNA.ENST00000369850.47	101.3068503231047
FLN,FLNA.ENST00000369850.48	123.58383366064986
FLN,FLNA.ENST00000369850.5	176.74461552346582
FLN,FLNA.ENST00000369850.6	160.27713700541514
FLN,FLNA.ENST00000369850.7	211.17347272743694
FLN,FLNA.ENST00000369850.8	180.95170923465705
FLN,FLNA.ENST00000369850.9	109.38356498194949
LMNA.ENST00000368300.1	182.3113184494587
LMNA.ENST00000368300.10	249.33139985559552
LMNA.ENST00000368300.11	140.71906915162455
LMNA.ENST00000368300.12	128.70765063357405
LMNA.ENST00000368300.2	142.18368739711192
LMNA.ENST00000368300.3	192.9103971119134
LMNA.ENST00000368300.4	262.3509556119134
LMNA.ENST00000368300.5	92.3447364620939
LMNA.ENST00000368300.6	215.76287332671495
LMNA.ENST00000368300.7	166.67065895126348
LMNA.ENST00000368300.8	353.1753095595666
LMNA.ENST00000368300.9	187.70551832310466
MYBPC3.ENST00000545968.1	197.58927497292416
MYBPC3.ENST00000545968.10	98.71750902527076
MYBPC3.ENST00000545968.11	48.83690803249098
MYBPC3.ENST00000545968.12	162.679553063177
MYBPC3.ENST00000545968.13	181.51050212996398
MYBPC3.ENST00000545968.14	194.94675090252707
MYBPC3.ENST00000545968.15	174.0801065342961
MYBPC3.ENST00000545968.16	167.48162283393495
MYBPC3.ENST00000545968.17	231.44160759205764
MYBPC3.ENST00000545968.18	227.49032929241875
MYBPC3.ENST00000545968.19	64.27743340974739
MYBPC3.ENST00000545968.2	86.78313565523466
MYBPC3.ENST00000545968.20	129.76036349639
MYBPC3.ENST00000545968.21	210.32601354332132
MYBPC3.ENST00000545968.22	176.4043772563175
MYBPC3.ENST00000545968.23	242.79126079602904
MYBPC3.ENST00000545968.24	137.08374411010826
MYBPC3.ENST00000545968.25	172.51546777617352
MYBPC3.ENST00000545968.26	141.44943154512643
MYBPC3.ENST00000545968.27	110.26466200722027
MYBPC3.ENST00000545968.28	112.51148669133582
MYBPC3.ENST00000545968.29	157.97260021299658
MYBPC3.ENST00000545968.3	99.20459408483758
MYBPC3.ENST00000545968.30	152.34681712635356
MYBPC3.ENST00000545968.31	210.26513859205772
MYBPC3.ENST00000545968.32	149.69201263357385
MYBPC3.ENST00000545968.33	231.42838009386276
MYBPC3.ENST00000545968.34	159.86606498194956
MYBPC3.ENST00000545968.4	220.65773964440444
MYBPC3.ENST00000545968.5	237.26315983934998
MYBPC3.ENST00000545968.6	192.0203955541517
MYBPC3.ENST00000545968.7	106.32539861010827
MYBPC3.ENST00000545968.8	93.66177019675091
MYBPC3.ENST00000545968.9	187.7757986462094
MYH7.ENST00000355349.10	298.49508215342973
MYH7.ENST00000355349.11	266.77922258844757
MYH7.ENST00000355349.12	266.0945691371839
MYH7.ENST00000355349.13	234.8268524765341
MYH7.ENST00000355349.14	308.837629938628
MYH7.ENST00000355349.15	208.19271604693122
MYH7.ENST00000355349.16	239.91600364620936
MYH7.ENST00000355349.17	148.57284876173293
MYH7.ENST00000355349.18	181.8956595667869
MYH7.ENST00000355349.19	184.72245365162473
MYH7.ENST00000355349.20	220.70765459386269
MYH7.ENST00000355349.21	181.92603260830316
MYH7.ENST00000355349.22	200.891172931408
MYH7.ENST00000355349.23	268.597808564982
MYH7.ENST00000355349.24	216.09585247653447
MYH7.ENST00000355349.25	322.75716420938613
MYH7.ENST00000355349.26	192.95744084296032
MYH7.ENST00000355349.27	211.51833360469314
MYH7.ENST00000355349.28	203.2332674296028
MYH7.ENST00000355349.29	94.22647310830315
MYH7.ENST00000355349.3	153.80704873646206
MYH7.ENST00000355349.30	120.04129520397109
MYH7.ENST00000355349.31	283.4356789169676
MYH7.ENST00000355349.32	341.6995733212995
MYH7.ENST00000355349.33	321.9736811425994
MYH7.ENST00000355349.34	276.1944652743684
MYH7.ENST00000355349.35	320.7651206696748
MYH7.ENST00000355349.36	193.16590613718424
MYH7.ENST00000355349.37	259.8215687472924
MYH7.ENST00000355349.38	235.7029070848375
MYH7.ENST00000355349.39	267.4553047129966
MYH7.ENST00000355349.4	244.94682034295997
MYH7.ENST00000355349.40	115.53047355956676
MYH7.ENST00000355349.5	283.28573081949446
MYH7.ENST00000355349.6	203.96577082671493
MYH7.ENST00000355349.7	169.67903462093835
MYH7.ENST00000355349.8	191.03902447653417
MYH7.ENST00000355349.9	247.5001719205773
NEXN.ENST00000334785.10	219.15971522021664
NEXN.ENST00000334785.11	220.29023802888102
NEXN.ENST00000334785.12	208.06532343321288
NEXN.ENST00000334785.13	258.73926778880843
NEXN.ENST00000334785.2	209.0425576444043
NEXN.ENST00000334785.3	210.58797513176893
NEXN.ENST00000334785.4	227.50856242238268
NEXN.ENST00000334785.5	264.3770611534296
NEXN.ENST00000334785.6	146.39130053429616
NEXN.ENST00000334785.7	203.36321903790596
NEXN.ENST00000334785.8	211.90483466065
NEXN.ENST00000334785.9	225.9096800920578
PLN.ENST00000357525.2	205.4937736841157
RBM20.ENST00000369519.1	73.20455064981955
RBM20.ENST00000369519.10	144.62972093321284
RBM20.ENST00000369519.11	249.36956024548743
RBM20.ENST00000369519.12	128.1652836877257
RBM20.ENST00000369519.13	203.47338663718412
RBM20.ENST00000369519.14	77.24547094765339
RBM20.ENST00000369519.2	211.9599171534295
RBM20.ENST00000369519.3	193.6240752761733
RBM20.ENST00000369519.4	154.95451659927778
RBM20.ENST00000369519.5	126.12942423826716
RBM20.ENST00000369519.6	243.99208355595678
RBM20.ENST00000369519.7	238.62272988989196
RBM20.ENST00000369519.8	267.25284468231035
RBM20.ENST00000369519.9	201.88697771119124
SCN5A	200.24002561325145
TNNC1	189.60297279362206
TNNI3	134.22876367531606
TNNT2	203.29897190703994
TPM1	206.17450498596142
TTN	216.1992918146355
VCL.ENST00000211998.1	111.40124083213001
VCL.ENST00000211998.10	207.9743166552348
VCL.ENST00000211998.11	176.61199887003613
VCL.ENST00000211998.12	205.8090180198555
VCL.ENST00000211998.13	218.26389019855557
VCL.ENST00000211998.14	195.39872313898917
VCL.ENST00000211998.15	251.21154228880886
VCL.ENST00000211998.16	190.07440766606499
VCL.ENST00000211998.17	160.29129792057753
VCL.ENST00000211998.18	203.27380234296038
VCL.ENST00000211998.19	197.83316140794238
VCL.ENST00000211998.2	169.0961062436824
VCL.ENST00000211998.20	186.68145684657028
VCL.ENST00000211998.21	170.98830183574017
VCL.ENST00000211998.22	218.48089858303257
VCL.ENST00000211998.3	235.41767749097426
VCL.ENST00000211998.4	275.14881669314093
VCL.ENST00000211998.5	213.7685092093862
VCL.ENST00000211998.6	237.3182648916966
VCL.ENST00000211998.7	150.60437225812265
VCL.ENST00000211998.8	264.7925538501805
VCL.ENST00000211998.9	207.24057951624576
